[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,SAMPLE S4 M VS H AT 3 KELVIN
FILEOPENTIME,2827018.81,06/20/2017,5:24 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FePc,SAMPLE_MATERIAL
INFO,SF20170517 S4,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.03,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2827515.82,3.0003722,15295.317,1.30764183685788E-5,5.50580612340755E-7,1,0.999253354069792,40.0298881530762,1.98020833184484,9.28000226616859,0.00015095732526356,1.944776481897E-6,0.25,-2.19493250476764E-6,1.30211913773985E-5,-2.10667519294421E-6,3.0003722,3.0003722,15274.09,15316.544,51.6633002356016,18.3336216089564,0.6047974,0,0,0,4961,2.994,15295.317,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0003722,,,,
,2827517.47,3.0004153,15109.4445,1.3414050666442E-5,6.94269581859901E-7,1,0.999253354069792,40.0298881530762,1.98026162795571,9.28000226616859,0.000153686835021039,8.45107389068217E-6,0.25,-1.6751830165433E-6,1.33537635559234E-5,-1.58779751026734E-6,3.0004153,3.0004153,15098.831,15120.058,51.3037511167554,18.3356214330965,0.6047672,0,0,0,4961,2.9944,15109.4445,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0004153,,,,
,2827518.14,3.00044645,15042.383,1.5154052180528E-5,4.66758366454485E-7,1,0.999253354069792,40.0298881530762,1.98025191214291,9.28000226616859,0.000173802174477025,8.54299302468187E-6,0.25,-1.98203806934183E-6,1.5086368703927E-5,-1.88290911567364E-6,3.0004153,3.0004776,14985.935,15098.831,51.6015515825824,18.3354529750093,0.6108695,0,0,0,4961,2.9942,15042.383,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00044645,,,,
,2827519.39,3.00038875,14912.8635,1.54161416311241E-5,5.74260390778925E-7,1,0.999253354069792,40.0298881530762,1.98022284239789,9.28000226616859,0.000176137539401765,1.23664401907112E-5,0.25,-1.6880640758948E-6,1.53451694202145E-5,-1.58905984104717E-6,3.0002999,3.0004776,14839.792,14985.935,51.5945169259093,18.3339784765108,0.6108695,0,0,0,4961,2.99415,14912.8635,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00038875,,,,
,2827521.83,3.0000558,14653.5455,1.60773960805832E-5,5.45978362726808E-7,1,0.999253354069792,40.0298881530762,1.98028167469129,9.28000226616859,0.000183702237754177,1.2847856131782E-5,0.25,-1.76455246909653E-6,1.60029963226679E-5,-1.66153490441137E-6,3.0000558,3.0000558,14643.496,14663.595,51.515572445467,18.3389610796186,0.610839,0,0,0,4961,2.9942,14653.5455,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0000558,,,,
,2827523.58,2.9999816,14478.096,1.67577799709223E-5,5.53190706856081E-7,1,0.999253354069792,40.0298881530762,1.98034768017061,9.28000226616859,0.000191143404492436,1.52469123211608E-5,0.25,-1.67343255870056E-6,1.66789810975231E-5,-1.56711162706994E-6,2.9999816,2.9999816,14468.232,14487.96,52.1072652345247,18.3370708821529,0.6169718,0,0,0,4961,2.99415,14478.096,,,,,,,,,,,,,,,,,13.400279,,,,,,2.9999816,,,,
,2827524.26,3.00043415,14401.829,1.84712384492158E-5,5.21376647767088E-7,1,0.999253354069792,40.0298881530762,1.98030323296469,9.28000226616859,0.000210426610638717,1.82123583066878E-5,0.25,-1.71885321715167E-6,1.83835162468085E-5,-1.60241384615323E-6,2.9999816,3.0008867,14335.426,14468.232,51.5202622165824,18.3364688053427,0.6139054,0,0,0,4961,2.9947,14401.829,,,,,,,,,,,,,,,,,13.022443,,,,,,3.00043415,,,,
,2827525.475,3.00079075,14260.9455,1.88360866349639E-5,5.50014700990572E-7,1,0.999253354069792,40.0298881530762,1.98030380867757,9.28000226616859,0.000215889627393086,1.13392655200123E-5,0.25,-2.39819312108925E-6,1.87501218259359E-5,-2.27619906434723E-6,3.0006948,3.0008867,14186.465,14335.426,51.6164025244478,18.3375715221021,0.610839,0,0,0,4961,2.995,14260.9455,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00079075,,,,
,2827527.695,3.0004821,14044.2695,2.00885707401583E-5,4.68924998811829E-7,1,0.999253354069792,40.0298881530762,1.98021763772471,9.28000226616859,0.000229277138299426,1.73572539021037E-5,0.25,-2.08738187026891E-6,1.99937425297621E-5,-1.96004079983912E-6,3.0004821,3.0004821,14033.937,14054.602,51.6726797778324,18.332482263793,0.610839,0,0,0,4961,2.9949,14044.2695,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0004821,,,,
,2827528.365,3.00017025,13966.781,2.0192884632058E-5,5.32128858414338E-7,1,0.999253354069792,40.0298881530762,1.9802226383199,9.28000226616859,0.000229172394636702,2.45960408679622E-5,0.25,-1.45997176557129E-6,2.00937244011471E-5,-1.33546815340557E-6,2.9998584,3.0004821,13899.625,14033.937,51.5429294436401,18.3342347889094,0.610839,0,0,0,4961,2.99435,13966.781,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00017025,,,,
